,mse,mae,mape
8,1.873172163343318,1.012460793962706,2.2929635136466286
7,1.4973017874512793,0.8721304501587608,3.674350694190332
6,1.1400799798781092,0.7487246007260261,2.3422555504380984
5,0.9518862416656868,0.7394424556748763,1.489490684231178
4,1.33405206808951,0.8378291164464179,3.496747424711361
3,0.8556982179242987,0.6918333654632064,1.3900107498461194
2,1.022063866001523,0.7158862310317919,2.1913607847188556
1,1.1519508846444289,0.757217222701906,1.5856647920982072
0,1.0957071924254207,0.769495885663619,1.64937636469458
