,mse,mae,mape
8,1.0456490960895892,0.7933985378094199,1.8313503917815206
7,0.9495389331083337,0.7737832952603143,1.8848437276509573
6,1.04780348596666,0.7732113154762092,3.650982823327009
5,0.9388760120712567,0.7278289000985324,2.4065152720171263
4,0.8398043126995578,0.7205947712416102,1.744917833844436
3,0.973682650520872,0.7504856884473294,1.8072967442593781
2,0.7269360297622924,0.690059697877278,1.6210953193447015
1,1.2595722422357603,0.816402939935348,2.1184854246962206
0,0.8916296032955406,0.7041227318094799,1.8602642645101706
