,mse,mae,mape
8,0.8412315927515608,0.6251495558661959,1.6426617541852802
7,1.3049264152536295,0.7296100422566756,2.0526842701446615
6,1.0433272484432843,0.6797709342990446,2.263591582839743
5,1.0189038648121287,0.6507633298638376,1.859357727163581
4,0.9754776084467621,0.6599186544888974,1.8307928290314959
3,1.1038769560742117,0.676030018169369,1.934662993555321
2,0.9720317250103888,0.676090904421002,2.2082913619911704
1,1.2635551742336126,0.6863842153846024,1.5869559760490912
0,1.0247167398645376,0.6830459422916317,1.4493365566255585
