,mse,mae,mape
8,0.9644992779614128,0.7517459214375605,3.465949031322327
7,1.0390965720549254,0.7316564651232171,2.301906190387587
6,1.2701560611798977,0.7517995019044732,3.250518170007724
5,1.0435815973077769,0.6848528296069163,10.67495739086675
4,1.0609488455096117,0.7657890516497624,3.259514531908231
3,0.8831750026404143,0.7459021687941613,4.239446733260674
2,1.4939233314934584,0.8359420374966154,14.433241586733972
1,1.2757621665045717,0.8533132994382221,7.467275102463702
0,1.0152713521006054,0.7418764905158368,2.8005793404096013
