,mse,mae,mape
8,1.0496165480716269,0.7419954203333998,2.580976738125462
7,1.333452227669485,0.7998295555526677,2.466708392000816
6,1.1024645179014667,0.763638591185077,7.713643556560004
5,1.125181911760982,0.7527988940990173,2.6373993931992987
4,1.0351136962592857,0.7393737492390867,2.7213941177749628
3,1.2392097764078867,0.7971353234995736,2.3318213296324948
2,1.045502377518091,0.7702916425051338,2.8886503553365737
1,1.3282575994325587,0.7997416128285639,2.148912570652983
0,1.1628088326684527,0.7906006661646244,3.850331211429311
