,mse,mae,mape
8,0.9431029397150893,0.7239615432412307,2.3461900726466243
7,1.4253687269443711,0.8373519127255733,2.8256158621615923
6,1.067409572214646,0.7328659371623558,8.1505841823708
5,1.1177302128101656,0.7529144452444945,2.6732494786736876
4,1.0430510387609755,0.7339157910361699,2.1892871384162387
3,1.149693213567826,0.756798761128136,2.230346106386574
2,1.0441217593050263,0.7396627996460486,2.166953773106644
1,1.2916315782428558,0.7771123274370199,2.529698231003191
0,1.1122557754855158,0.7623451469959072,4.629722337934356
