,mse,mae,mape
8,0.8730275194463926,0.6919761993261925,2.804206257159175
7,0.9872939995332412,0.7116244350885848,2.2191340074739796
6,1.390462456127851,0.7698928987221116,3.5029125172774176
5,0.9223503798283998,0.6598028327165503,15.93665025106683
4,1.033984275151467,0.7739829427247231,2.8479388083771244
3,0.7509570089459306,0.6847000594623276,3.878688827551097
2,1.4103537226694354,0.7872801570131692,9.093618090455756
1,1.0829464714737482,0.7803546170795658,6.607206711911867
0,1.1037406972360042,0.7570921100306874,3.135180155941752
