,mse,mae,mape
8,0.8035535230067163,0.6286605000457413,1.2146369578034486
7,0.7172762751620937,0.600855975718343,1.3261150118042868
6,0.9633103228613666,0.6699767705889341,3.6308234182301633
5,0.6952261711707944,0.5919284179334038,1.8070349115236546
4,0.690606343169957,0.5945650186744319,1.3645470286714403
3,0.7319162488148252,0.6053325202399432,1.320939754212292
2,0.5571891211132886,0.558866893151366,1.1113491535346245
1,1.0130428203083255,0.6831145340104938,1.783090464288758
0,0.8103206566951513,0.6319033969627944,2.177802902992194
