,mse,mae,mape
8,1.9261896646920749,0.959980436793334,1.6817958396049246
7,1.5402616687596637,0.8093680946986205,3.174798455441957
6,0.7212247055634886,0.592123971577126,1.8559393155488006
5,0.9487698363064062,0.6729232503329708,1.2229155110191423
4,1.0641311972109022,0.7158953023646377,4.90201386864211
3,0.941368850823672,0.6469450076531942,1.3438155461879298
2,1.2855592806134422,0.7528265711337814,1.3652159538153301
1,1.234304509644354,0.7558584650540776,1.661916310226577
0,0.8526711549496807,0.600362958690457,0.9962680513879925
