,mse,mae,mape
8,1.8236083213693932,0.9893283809149233,3.1579980039558193
7,1.2679201436111984,0.8278108752685309,2.6506674942813215
6,1.0732188743556155,0.7871845346184482,2.25472832812186
5,1.1252307460517128,0.808322452403591,1.4398799244170413
4,1.221628308786336,0.8065104519833433,5.159912717385612
3,0.9934122215391537,0.7282965621832352,1.368115076641519
2,1.1743675740814268,0.8044301855067842,2.3293350020650716
1,1.4714156642230398,0.8526534847531141,1.7419209244551885
0,1.0286638832126682,0.7165413528442754,1.288724418366128
